prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3
2025,88.196,99.529,8.922,0.819,197.466,144.772
2024,102.895,126.245,12.219,1.291,242.651,170.478
2023,104.135,117.322,11.954,1.161,234.572,161.062
2022,97.810,124.210,11.512,1.089,234.621,159.908
2021,102.375,115.201,14.637,0.706,232.921,171.619
2020,98.390,112.326,16.969,1.282,228.968,169.563
2019,81.861,115.162,17.416,1.655,216.094,168.709
2018,86.269,122.245,19.457,1.714,229.684,173.394
2017,92.278,124.679,20.436,1.707,239.101,171.885
2016,93.933,116.767,20.309,1.933,232.942,176.780
2015,90.854,117.008,19.606,2.468,229.937,184.630
2014,87.750,108.303,18.802,2.912,217.768,175.210
2013,84.932,108.746,17.718,3.991,215.387,158.522
2012,89.196,114.723,17.799,4.575,226.293,159.994
2011,97.454,101.266,16.314,4.583,219.618,157.393
2010,104.415,106.998,15.550,4.171,231.135,160.660
2009,114.969,104.246,16.962,4.440,240.617,162.219
2008,122.638,100.079,16.942,3.924,243.584,176.717
2007,128.276,90.310,16.629,3.126,238.341,182.672
2006,136.577,88.668,16.696,7.625,249.566,175.127
2005,148.137,85.843,15.806,7.952,257.737,177.068
2004,162.778,79.311,13.643,8.675,264.406,171.028
2003,165.475,72.960,12.931,10.339,261.705,154.350
2002,173.649,65.594,11.798,7.323,258.364,135.815
2001,180.884,54.036,10.924,5.666,251.510,130.128
2000,181.181,49.796,7.225,5.411,243.613,114.419
1999,168.690,48.471,6.992,5.512,229.665,1.237
1998,168.744,44.195,7.390,5.047,225.375,0.183
1997,175.914,42.945,8.074,5.376,232.308,0.001
1996,175.501,37.398,8.232,3.784,224.915,0.003
1995,156.776,27.814,7.942,3.178,195.709,0.000
1994,146.282,26.842,7.122,2.403,182.649,0.065
1993,131.843,24.804,5.518,0.474,162.639,0.000
1992,123.999,25.834,4.959,0.054,154.846,0.000
1991,108.510,25.027,4.897,0.057,138.492,0.000
1990,94.542,25.479,5.011,0.048,125.081,0.000
1989,85.983,28.738,4.898,0.053,119.672,0.000
1988,64.723,28.330,4.846,0.047,97.946,0.000
1987,56.959,28.151,4.117,0.055,89.281,0.000
1986,48.771,26.090,3.845,0.061,78.767,0.000
1985,44.758,26.186,2.968,0.076,73.987,0.000
1984,41.093,25.963,2.642,0.064,69.762,0.000
1983,35.645,23.613,2.680,0.041,61.979,0.000
1982,28.528,23.960,2.286,0.043,54.817,0.000
1981,27.485,24.951,2.168,0.048,54.652,0.000
1980,28.221,25.088,2.440,0.048,55.798,0.000
1979,22.478,20.670,1.128,0.044,44.319,0.000
1978,20.644,14.201,0.000,0.021,34.866,0.000
1977,16.643,2.655,0.000,0.002,19.300,0.000
1976,16.227,0.000,0.000,0.000,16.227,0.000
1975,10.995,0.000,0.000,0.000,10.995,0.000
1974,2.014,0.000,0.000,0.000,2.014,0.000
1973,1.870,0.000,0.000,0.000,1.870,0.000
1972,1.927,0.000,0.000,0.000,1.927,0.000
1971,0.357,0.000,0.000,0.000,0.357,0.000

