"prfInformationCarrier";"prfYear";"prfPrdOilNetMillSm3";"prfPrdGasNetBillSm3";"prfPrdNGLNetMillSm3";"prfPrdCondensateNetMillSm3";"prfPrdOeNetMillSm3";"prfPrdProducedWaterInFieldMillSm3";"prfNpdidInformationCarrier"
"16/1-12 Troldhaugen";"2021";"0.047";"0.000";"0.000";"0.000";"0.047";"0.035";"17196400"
"16/1-12 Troldhaugen";"2022";"0.096";"0.000";"0.000";"0.000";"0.096";"0.162";"17196400"
"16/1-12 Troldhaugen";"2023";"0.044";"0.001";"0.000";"0.000";"0.045";"0.089";"17196400"
"33/9-6 DELTA";"2009";"0.010";"0.000";"0.000";"0.000";"0.010";"0.011";"44576"
"33/9-6 DELTA";"2010";"0.021";"0.000";"0.000";"0.000";"0.021";"0.038";"44576"
"33/9-6 DELTA";"2011";"0.019";"0.000";"0.000";"0.000";"0.019";"0.007";"44576"
"33/9-6 DELTA";"2012";"0.013";"0.000";"0.000";"0.000";"0.013";"0.004";"44576"
"33/9-6 DELTA";"2013";"0.004";"0.000";"0.000";"0.000";"0.004";"0.001";"44576"
"33/9-6 DELTA";"2014";"0.001";"0.000";"0.000";"0.000";"0.001";"0.000";"44576"
"7220/11-1 (Alta)";"2018";"0.106";"0.000";"0.000";"0.000";"0.106";"0.003";"25288497"
"ALBUSKJELL";"1979";"0.531";"0.652";"0.060";"0.000";"1.243";"0.000";"43437"
"ALBUSKJELL";"1980";"1.442";"1.779";"0.208";"0.000";"3.428";"0.000";"43437"
"ALBUSKJELL";"1981";"1.426";"2.249";"0.268";"0.000";"3.943";"0.000";"43437"
"ALBUSKJELL";"1982";"0.953";"1.998";"0.251";"0.000";"3.202";"0.000";"43437"
"ALBUSKJELL";"1983";"0.697";"1.655";"0.253";"0.000";"2.605";"0.000";"43437"
"ALBUSKJELL";"1984";"0.462";"1.183";"0.169";"0.000";"1.814";"0.000";"43437"
"ALBUSKJELL";"1985";"0.357";"1.026";"0.157";"0.000";"1.540";"0.000";"43437"
"ALBUSKJELL";"1986";"0.285";"0.946";"0.129";"0.000";"1.360";"0.000";"43437"
"ALBUSKJELL";"1987";"0.216";"0.778";"0.106";"0.000";"1.100";"0.000";"43437"
"ALBUSKJELL";"1988";"0.176";"0.613";"0.096";"0.000";"0.884";"0.000";"43437"
"ALBUSKJELL";"1989";"0.142";"0.456";"0.067";"0.000";"0.665";"0.000";"43437"
"ALBUSKJELL";"1990";"0.109";"0.339";"0.046";"0.000";"0.493";"0.000";"43437"
"ALBUSKJELL";"1991";"0.091";"0.271";"0.031";"0.000";"0.393";"0.000";"43437"
"ALBUSKJELL";"1992";"0.087";"0.266";"0.027";"0.000";"0.380";"0.000";"43437"
"ALBUSKJELL";"1993";"0.096";"0.309";"0.033";"0.000";"0.437";"0.000";"43437"
"ALBUSKJELL";"1994";"0.081";"0.264";"0.028";"0.000";"0.373";"0.000";"43437"
"ALBUSKJELL";"1995";"0.074";"0.236";"0.024";"0.000";"0.335";"0.000";"43437"
"ALBUSKJELL";"1996";"0.054";"0.218";"0.021";"0.000";"0.293";"0.000";"43437"
"ALBUSKJELL";"1997";"0.046";"0.192";"0.020";"0.000";"0.258";"0.000";"43437"
"ALBUSKJELL";"1998";"0.030";"0.106";"0.012";"0.000";"0.147";"0.000";"43437"
"ALVE";"2009";"0.259";"0.900";"0.313";"0.000";"1.472";"0.003";"4444332"
"ALVE";"2010";"0.244";"0.839";"0.289";"0.000";"1.372";"0.000";"4444332"
"ALVE";"2011";"0.318";"0.747";"0.270";"0.000";"1.335";"0.002";"4444332"
"ALVE";"2012";"0.243";"0.505";"0.187";"0.000";"0.935";"0.000";"4444332"
"ALVE";"2013";"0.136";"0.318";"0.115";"0.000";"0.569";"0.002";"4444332"
"ALVE";"2014";"0.185";"0.539";"0.184";"0.000";"0.908";"0.005";"4444332"
"ALVE";"2015";"0.152";"0.459";"0.159";"0.000";"0.770";"0.001";"4444332"
"ALVE";"2016";"0.146";"0.446";"0.155";"0.000";"0.747";"0.001";"4444332"
"ALVE";"2017";"0.176";"0.756";"0.247";"0.000";"1.179";"0.013";"4444332"
"ALVE";"2018";"0.137";"0.630";"0.222";"0.000";"0.988";"0.024";"4444332"
"ALVE";"2019";"0.117";"0.573";"0.197";"0.000";"0.887";"0.013";"4444332"
"ALVE";"2020";"0.046";"0.408";"0.135";"0.000";"0.589";"0.008";"4444332"
"ALVE";"2021";"0.046";"0.435";"0.126";"0.000";"0.608";"0.009";"4444332"
"ALVE";"2022";"0.062";"0.526";"0.107";"0.000";"0.694";"0.012";"4444332"
"ALVE";"2023";"0.068";"0.472";"0.095";"0.000";"0.635";"0.009";"4444332"
"ALVHEIM";"2008";"2.269";"0.126";"0.000";"0.000";"2.394";"0.001";"2845712"
"ALVHEIM";"2009";"4.986";"0.436";"0.000";"0.000";"5.422";"0.377";"2845712"
"ALVHEIM";"2010";"4.599";"0.442";"0.000";"0.000";"5.041";"0.340";"2845712"
"ALVHEIM";"2011";"3.863";"0.461";"0.000";"0.000";"4.323";"0.935";"2845712"
"ALVHEIM";"2012";"4.024";"0.626";"0.000";"0.000";"4.650";"2.111";"2845712"
"ALVHEIM";"2013";"3.492";"0.605";"0.000";"0.000";"4.096";"2.772";"2845712"
"ALVHEIM";"2014";"3.160";"0.573";"0.000";"0.000";"3.733";"3.860";"2845712"
"ALVHEIM";"2015";"2.570";"0.393";"0.000";"0.000";"2.963";"4.660";"2845712"
"ALVHEIM";"2016";"3.321";"0.500";"0.000";"0.000";"3.821";"4.440";"2845712"
"ALVHEIM";"2017";"4.198";"0.571";"0.000";"0.000";"4.770";"5.507";"2845712"
"ALVHEIM";"2018";"3.131";"0.509";"0.000";"0.000";"3.640";"5.580";"2845712"
"ALVHEIM";"2019";"2.868";"0.617";"0.000";"0.000";"3.485";"5.713";"2845712"
"ALVHEIM";"2020";"2.395";"0.593";"0.000";"0.000";"2.988";"6.208";"2845712"
"ALVHEIM";"2021";"2.444";"0.584";"0.000";"0.000";"3.028";"6.011";"2845712"
"ALVHEIM";"2022";"2.219";"0.665";"0.000";"0.000";"2.884";"5.891";"2845712"
"ALVHEIM";"2023";"1.245";"0.448";"0.000";"0.000";"1.694";"4.270";"2845712"
"ATLA";"2012";"0.038";"0.046";"0.000";"0.000";"0.085";"0.000";"21106284"
"ATLA";"2013";"0.072";"0.075";"0.000";"0.000";"0.147";"0.000";"21106284"
"ATLA";"2014";"0.034";"0.234";"0.000";"0.000";"0.267";"0.000";"21106284"
"ATLA";"2015";"0.027";"0.315";"0.000";"0.000";"0.342";"0.000";"21106284"
"ATLA";"2016";"0.022";"0.465";"0.000";"0.000";"0.488";"0.004";"21106284"
"ATLA";"2017";"0.035";"0.069";"0.000";"0.000";"0.104";"0.000";"21106284"
